start_time        : 1541669298
last_update       : 1541669962
fuzzer_pid        : 31135
cycles_done       : 13
execs_done        : 8021
execs_per_sec     : 11.43
paths_total       : 66
paths_favored     : 2
paths_found       : 61
paths_imported    : 0
max_depth         : 5
cur_path          : 17
pending_favs      : 2
pending_total     : 49
variable_paths    : 0
stability         : 100.00%
bitmap_cvg        : 0.02%
total_crashes     : 0
unique_crashes    : 0
unique_hangs      : 0
unique_leaks      : 0
last_path         : 1541669962
last_crash        : 0
last_hang         : 0
execs_since_crash : 8021
exec_timeout      : 160
afl_banner        : testFuzz
afl_version       : 2.52b
target_mode       : default
command_line      : /mnt/c/wcventure/Git-Bitbucket/MemFuzz/Code/mem-fuzz -i fuzz_in -o fuzz_out/ -m none -d -- ../testFuzz @@
TOP_MEM_0         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000048_src000017_ophavoc_rep32,7810,15622
TOP_MEM_1         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000058_src000017_ophavoc_rep64,6820,13642
TOP_MEM_2         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000050_src000017_ophavoc_rep32,4980,9963
TOP_MEM_3         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000052_src000017_ophavoc_rep32,4801,9604
TOP_MEM_4         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000061_src000017_ophavoc_rep128,2564,5131
TOP_MEM_5         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000056_src000017_ophavoc_rep128,1297,2596
TOP_MEM_6         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000060_src000017_ophavoc_rep32,1166,2334
TOP_MEM_7         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000055_src000017_ophavoc_rep4,805,1612
TOP_MEM_8         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000063_src000017_ophavoc_rep128,797,1596
TOP_MEM_9         : /mnt/c/wcventure/Fuzzing_Object/fuzz_test/Fuzzing_Mem/fuzz_out//queue/id000064_src000017_ophavoc_rep128,524,1051
